date,dining_only_revenue,non_dining_revenue,ppc_spend,meta_spend
26/10/2023,10874.4524,1242505.238,0,0
27/10/2023,5874.1268,1220245.878,0,0
28/10/2023,9213.9626,2056830.844,0,0
29/10/2023,14622.4248,2743595.018,0,0
30/10/2023,10111.6176,1797077.717,0,0
31/10/2023,11857.0848,1518722.852,0,0
01/11/2023,7668,1235686.442,0,0
02/11/2023,10175.52444,1293291.313,0,0
03/11/2023,7642.8204,1537865.409,0,0
04/11/2023,16850.6345,2799825.71,0,0
05/11/2023,11346.342,3149481.026,0,0
06/11/2023,8607.5424,1815047.048,0,0
07/11/2023,9122.08,1542075.559,0,0
08/11/2023,9501.3552,1291980.788,0,0
09/11/2023,4856.754,1344351.477,0,0
10/11/2023,7387.968,1346382.53,0,0
11/11/2023,13531.5068,2931351.015,0,0
12/11/2023,14865.54,2789572.428,0,0
13/11/2023,10111.8874,2002826.429,0,0
14/11/2023,7289.3616,1485588.815,0,0
15/11/2023,11018.52,1143810.758,0,0
16/11/2023,9274.4096,1029704.807,0,0
17/11/2023,7034.6696,1407745.634,0,0
18/11/2023,15368.6983,2523813.692,0,0
19/11/2023,12306.2648,2960107.275,0,0
20/11/2023,8701.38,1576856.013,0,0
21/11/2023,9912.402,1478405.786,0,0
22/11/2023,4735.8608,1151420.082,0,0
23/11/2023,9256.18,1221302.898,0,0
24/11/2023,9802.108,1493162.71,0,0
25/11/2023,11628.6212,2085810.146,0,0
26/11/2023,13047.8208,2419903.534,0,0
27/11/2023,8484,1409008.149,0,0
28/11/2023,11116.1988,1181317.782,0,0
29/11/2023,12251.7,1299515.685,0,0
30/11/2023,7542.63,671508.3728,0,0
01/12/2023,5187.609,657200.8997,0,0
02/12/2023,6427.9872,1027267.017,0,0
03/12/2023,7595.4816,1031027.703,0,0
04/12/2023,6244.8336,763160.1606,0,0
05/12/2023,1818.0488,518202.3732,0,0
06/12/2023,3987.01,493887.9936,0,0
07/12/2023,4365.4804,399490.4835,0,0
08/12/2023,5598.9824,593477.9855,0,0
09/12/2023,4647.7872,933084.1611,0,0
10/12/2023,5456.2184,880774.0098,0,0
11/12/2023,5683.5455,636511.9781,0,0
12/12/2023,2157.912,496548.6735,0,0
13/12/2023,5629.022,506148.556,0,0
14/12/2023,3595.1655,509566.4615,0,0
15/12/2023,3366.45,469186.4958,0,0
16/12/2023,580.36,688318.7324,0,0
17/12/2023,2646.5664,698658.2946,0,0
18/12/2023,2962.9712,469206.9714,0,0
